evidence_id,category,path,description,source_stage,sha256,frozen_status,release_relationship,assurance_purpose,integrity_status,notes
"EV-MODEL-001","model_identity","artifacts/model/creditscope_frozen_model.joblib","Serialized frozen calibrated ensemble","Stage 9","c92e062e1cdde4965a7130be244cba8d01bc95e2b0d0cbb8a7feda43fbc3bcb7","CANONICAL_FROZEN","RELEASE_ARTIFACT","Establish production model bytes","VERIFIED_CANONICAL","Hash before any trusted deserialization"
"EV-POLICY-001","model_policy","reports/stage6/frozen_model_policy.json","Machine-readable frozen model and decision policy","Stage 6P","afee2e4ea82d438fa0ba638a8b7bdadaecbce9a4ada7da1f72d66866e4313afc","CANONICAL_FROZEN","RELEASE_ARTIFACT","Establish frozen architecture and threshold","VERIFIED_CANONICAL","Must not be modified by assurance"
"EV-HOLDOUT-001","final_holdout","reports/stage7/final_holdout_predictions.csv","One-time final holdout probabilities and classifications","Stage 7","dc43c8f81bfd993ec6735253be3fdc572ba44deda2743d4c7b9f8dbff41dce18","CANONICAL_FROZEN","RELEASE_ARTIFACT","Support later diagnostic re-performance without regeneration","VERIFIED_CANONICAL","Assurance use cannot drive model redesign"
"EV-HOLDOUT-002","final_holdout","reports/stage7/final_holdout_metrics.csv","Predefined final holdout metrics","Stage 7","c676b0f0ea0a02a4bfe8b681cc29903831aef83631def31c38eeb599879b124d","CANONICAL_FROZEN","RELEASE_ARTIFACT","Establish released performance record","VERIFIED_CANONICAL","No new metric conclusion is made in A0/A1"
"EV-DATA-001","data_provenance","reports/data_verification.json","Source identity, dimensions, target counts, and raw snapshot hash record","Stage 1","dd6991d1a96aecef9b0fe7c748b8405ca65096f4524e023d873a0aedf016dd5b","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Navigate dataset provenance and source snapshot controls","VERIFIED_CURRENT_BYTES","Raw dataset is intentionally excluded from the released repository"
"EV-DATA-002","data_semantics","docs/statlog_semantics_audit.md","Semantic comparison of UCI datasets 144 and 573","Stage 3A","861a419e564857451d55049ee22f61a17f967ed020587ae4243c3788c7bae1b6","SUPPORTING","RELEASE_DOCUMENTATION","Navigate source semantics and recorded retrieval limits","VERIFIED_CURRENT_BYTES","Document records that ID 573 attachments were not independently parsed"
"EV-DATA-003","data_semantics","reports/stage3a_semantics_comparison.csv","Machine-readable feature-level semantics comparison","Stage 3A","c05c54b20f2616de95c953281c441e50651f2a879d016d62f7a588114f32845a","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Trace semantic remediation decisions","VERIFIED_CURRENT_BYTES","Feature-level comparison only"
"EV-FEATURE-001","feature_governance","reports/feature_governance.csv","Initial feature roles and governance concerns","Stage 2","5af428de5db8a43c8bf55680b54bbb82c56f32880bd78040e3e678797410cedc","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Trace predictor and audit-only governance","VERIFIED_CURRENT_BYTES","Historical governance evidence; later decisions are recorded separately"
"EV-PREPROC-001","preprocessing","reports/stage3_remediated/feature_set_summary.csv","Authoritative Stage 3R feature typing and inclusion record","Stage 3R","bc82ace348e1dc26f18c7737c1ad64db24c3629ebb680cd6483355bdb7ec0eea","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Trace corrected preprocessing boundary","VERIFIED_CURRENT_BYTES","Two numeric and fifteen one-hot predictive fields"
"EV-SPLIT-001","data_partition","reports/split_manifest.csv","Locked development and final holdout membership","Stage 3","32fb4c9ac2cdb358e3bffd145cd97e1a393c14946888d46212d0b395523e99af","SUPPORTING_FROZEN","RELEASE_EVIDENCE","Establish partition membership and leakage boundary","VERIFIED_CURRENT_BYTES","Contains membership metadata; not one of the four canonical artifacts"
